"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"nmtuDklXhGRmP71","",428,11,406,110,NA,"–ü–æ–ª–∏–Ω–∞ –ü–æ—Ç–µ—Ö–∏–Ω–∞",2017-01-24 09:40:39,FALSE,FALSE,"nmtuDklXhGRmP71","","ru","823827845071990784",1,FALSE,"http://pbs.twimg.com/profile_images/824659614956412933/JTTSTAp6_normal.jpg"
"SportsManiaUSA","Sports Mania is a licensed apparel store and shoe shop for that fan who loves sports.Sports Mania is a Sportswear store stocking the very best year round.",6078,2039,230,927,"http://t.co/4GMOsN8GZ9","Sports Mania USA",2009-09-26 16:01:22,FALSE,FALSE,"SportsManiaUSA","Jacksonville Beach,Fl","en","77506616",13,FALSE,"http://pbs.twimg.com/profile_images/467750771132346368/1ulw0nLI_normal.jpeg"
"yOg3n7WUJ1zSl5U","",255,3,234,52,NA,"Pippa Hughes",2017-01-31 02:44:32,FALSE,FALSE,"yOg3n7WUJ1zSl5U","","ru","826259844369960961",0,FALSE,"http://pbs.twimg.com/profile_images/829290120398438402/Kh-jmZQ6_normal.jpg"
"SmartSanta","Open-minded Santa;Funny+Honest+ LoyalChristian+Realist+Nonracist; PrizeWinner+Entrepr+FighterForTheWeak;  BLUNT/Ironic/Funny (Re-)Tweets+ Interests in ManyAreas",63501,2982,27182,2971,"https://t.co/Eazgsf6e6L","Smart Santa",2014-03-07 10:52:06,FALSE,FALSE,"SmartSanta","","de","2376944491",297,FALSE,"http://pbs.twimg.com/profile_images/605053791889686528/XT0dbCZN_normal.jpg"
"redonkmarketing","We create meaningful experiences that build brands, deepen relationships and grow businesses.",1048,681,101,905,"http://t.co/YioffZo3wF","Redonk Marketing",2009-07-09 21:56:26,FALSE,FALSE,"redonkmarketing","Plano, TX","en","55375575",113,FALSE,"http://pbs.twimg.com/profile_images/620610784909852672/B2eOyPqG_normal.png"
"KjVpAOIrRoeUXyF","",451,15,429,109,NA,"–ê–Ω–∂–µ–ª–∏–∫–∞ –î–µ–Ω–∏—Å–æ–≤–∞",2017-01-24 11:19:25,FALSE,FALSE,"KjVpAOIrRoeUXyF","","ru","823852702031548416",1,FALSE,"http://pbs.twimg.com/profile_images/824659462552244225/M7rkQwXT_normal.jpg"
"hausofgagary","im your biggest fan, i will follow you until you love me.",115042,3364,20308,2893,NA,"Gary Mikaelson",2012-07-28 06:43:18,FALSE,FALSE,"hausofgagary","Singapore","en","721660387",53,FALSE,"http://pbs.twimg.com/profile_images/826488948184674307/JolQ2pRt_normal.jpg"
"SurvivorHealer","The rules of life: Share kindness. Love one another. Accept each other's differences. Live life like it's your last day on earth.",4435,8262,3527,1826,NA,"Warrior | Gaga",2014-05-09 02:12:59,FALSE,FALSE,"SurvivorHealer","Houston, TX","en","2536253135",25,FALSE,"http://pbs.twimg.com/profile_images/828444489912049665/JZzf7gvf_normal.jpg"
"magstergsilkmo1","",537,23,471,148,NA,"–ê–Ω–∞—Å—Ç–∞—Å–∏—è",2016-11-14 23:32:37,FALSE,FALSE,"magstergsilkmo1","","ru","798307680943308805",7,FALSE,"http://pbs.twimg.com/profile_images/822811674600214528/wXIbcMyB_normal.jpg"
"FsbRyGReCyBZKAe","",271,7,231,52,NA,"Grace Hunter",2017-01-27 09:26:32,FALSE,FALSE,"FsbRyGReCyBZKAe","","ru","824911457318010881",0,FALSE,"http://pbs.twimg.com/profile_images/829290037607092226/2izI9B97_normal.jpg"
"ZenCitySeries","@HRZone @USTravel @Seamless_Care @gaycivilrights @MakeupRVLTN @UrbanDaddy @WERRestaurants @SXM_Help @RLDarbyJR @AskNetSpend @AskUHC @PreventionMag",30486,1003,32618,5000,NA,"Zen City Series",2015-01-14 07:49:15,FALSE,FALSE,"ZenCitySeries","","en","2982018500",472,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png"
"SomeRandomBoob","",1305,54,2609,216,NA,"Some Random Boob",2012-11-01 03:59:29,FALSE,FALSE,"SomeRandomBoob","","en","918206605",1,FALSE,"http://pbs.twimg.com/profile_images/2791571725/054f328fea2d13665a3eb3560adb53e5_normal.png"
"sherrylor","I love family,friends,sports,current events,and my pets! Pittsburgh teams...... I bleed Black and Gold!",2072,107,2247,549,NA,"Sherrylor",2011-03-13 16:09:18,FALSE,FALSE,"sherrylor","P.A.","en","265474151",3,FALSE,"http://pbs.twimg.com/profile_images/768454667378434048/JXktGXnf_normal.jpg"
"SaraCarvalhosa","Ì†ºÌø†Portugal |
Ì†ºÌæìCommunication Sciences | 
Ì†ΩÌ±ªSnap: sara.carvalhosa | 
Ì†ΩÌ≥∑Instagram: sara_carvalhosa",4339,395,5672,75,NA,"O outro lado da Lua",2012-05-12 08:57:22,FALSE,FALSE,"SaraCarvalhosa","","pt","577964997",1,FALSE,"http://pbs.twimg.com/profile_images/825810378504466432/2OoVKir7_normal.jpg"
"popovazgl1966","",752,28,599,176,NA,"Amelia Forsyth",2017-01-02 07:44:10,FALSE,FALSE,"popovazgl1966","","ru","815825999715827712",6,FALSE,"http://pbs.twimg.com/profile_images/816329051107430400/AHiogYio_normal.jpg"
"AlexEsteban17","LADY GAGA mi diosa, love is love, Instagram: elchicogaga Snapchat: elchigay",20356,1088,10971,774,NA,"ArTpOp",2012-11-16 15:21:52,FALSE,FALSE,"AlexEsteban17","Madrid","es","951863976",18,FALSE,"http://pbs.twimg.com/profile_images/607882526145806336/BwWu07Wn_normal.jpg"
"WafflesInHD","Shy boy with a clipboard & guitar that gets brutally murdered while Bette Davis Eyes plays.",3520,228,3654,45,NA,"Richard Valentine",2015-12-29 20:44:18,FALSE,FALSE,"WafflesInHD","1980's Slasher Film","en","4674560234",6,FALSE,"http://pbs.twimg.com/profile_images/820191583383322624/GuF1NcVt_normal.jpg"
"Mohanusif007","Sports Indian Athletes Sports News, TV and Scores South Indian News Breaking News, Wrestling fan... Favourite : Saeda",24364,3009,45726,4238,NA,"Mohan Raj",2016-10-05 15:27:29,FALSE,FALSE,"Mohanusif007","India ","en","783690077029355520",18,FALSE,"http://pbs.twimg.com/profile_images/826937068685176832/znf5DluG_normal.jpg"
"PaulinaaLenehan","Instagram-dopaminepaulinaa|
Hunter RowlandÌ†ΩÌ≤¶Ì†ΩÌ¥•Ì†ΩÌ≤ó|
Brandon Rowland Ì†ΩÌ±ÖÌ†ΩÌ≤´Ì†ΩÌ∏ò|
BambinoÌ†ΩÌ≤ï |
Jacob Sartorius Ì†ΩÌ≤ô|",1319,176,2740,705,NA,"Dopamine_Paulina",2013-05-12 14:02:20,FALSE,FALSE,"PaulinaaLenehan","Pozna≈Ñ* Poland *","pl","1423194630",2,FALSE,"http://pbs.twimg.com/profile_images/779236506896625664/wL_pPi02_normal.jpg"
"rjae53","Hello my name is Jae I am from South Korea and living in New York..i am currently working in restuarant on a work Visa also awaiting citizenship..",2,3,3,32,NA,"Jae Jeong",2017-02-17 19:42:03,FALSE,FALSE,"rjae53","New York, USA","en","832676501606723584",0,FALSE,"http://pbs.twimg.com/profile_images/832678321343262720/Nj78U6t4_normal.jpg"
"defendressofsan","#EmpathicBadass #Alchemist &Ì†ΩÌ¥•#FireWoman Ì†ΩÌ¥•who is grateful for the #GiftofJericho! #wholovesyoubabyIdo!
Research #GoldOutofHiding!",685710,6000,168403,6164,"https://t.co/gDuh3SXZ3R","Resplendent Angel",2009-08-27 01:36:56,FALSE,FALSE,"defendressofsan","Waukesha, WI","en","69163320",866,FALSE,"http://pbs.twimg.com/profile_images/832550292981952512/ALxmw9Uc_normal.jpg"
"bluesoccerwolf","Justin, Selena, Abel‚ù§ Lea, Hayley, Tori, Rachel, Sharissa, JuliaÌ†ΩÌ≤ó SPAM ACCOUNT",12411,324,16828,751,"https://t.co/2B1YApLM35","Abigail King",2015-10-12 05:44:58,FALSE,FALSE,"bluesoccerwolf","Surprise, AZ","en","3866307672",4,FALSE,"http://pbs.twimg.com/profile_images/817815316285648896/gwBJutxM_normal.jpg"
"vbLgwfykcX8cuVg","",284,10,236,53,NA,"Rebecca Arnold",2017-01-31 04:24:43,FALSE,FALSE,"vbLgwfykcX8cuVg","","ru","826285056721293314",0,FALSE,"http://pbs.twimg.com/profile_images/829290077402578946/XrIWmweP_normal.jpg"
"Medicus0001","Introducing folks to the latest awesome sports app Firefan! Play on Andriod or iPhone. Register and download it today:  https://t.co/qW3NzWCZWH",1709,2620,152,2589,"https://t.co/qW3NzWCZWH","Steve M.",2014-09-05 11:30:42,FALSE,FALSE,"Medicus0001","Washington, DC","en","2791704000",37,FALSE,"http://pbs.twimg.com/profile_images/804138308955729920/X-AnOXkH_normal.jpg"
"CombatHeroes","",10851,342,22211,57,"https://t.co/8fXEMXB3gf","Richard Carroll",2014-11-07 18:11:50,FALSE,FALSE,"CombatHeroes","Marina del Rey, CA","en","2866017897",21,FALSE,"http://pbs.twimg.com/profile_images/737395393512644608/_Qxz5TeE_normal.jpg"
"EenModischeFrau","NO Lists or I block! American, –õ–í–ò. –ì–µ–Ω—Ç–µ–º –º–µ–∞–º –∞–º–æ. Pro-White/Life. WN. Jesus is Lord. 14 Words. #C–∏–Ω–∏–πX–æ–ª–º, #–ù–µ–±—Ä–∞—Å–∫–∞ #Russia #Putin #Trump IS my President--!",17866,1264,129269,227,"https://t.co/88QSmUic5p","Eine M√∂dische Frau",2012-08-11 00:28:19,FALSE,FALSE,"EenModischeFrau","–ö–∏–≤–∏—Ç–∞—Å –û–∫–∫—É–ø–∞—Ç–∞ –ò—É–¥–∞–µ–∞–µ –ê–º–µ—Ä.","en","750322320",16,FALSE,"http://pbs.twimg.com/profile_images/800973949656035329/JwsRUAeh_normal.jpg"
"20thCentGlam","Treasure hunter
Seeking & Sometimes Finding 
#Antiques #ArtPottery #Vintage #ArtGlass #MidCenturyModern",1296,387,592,275,"https://t.co/4VOL3rIsme","Steven Bishop",2016-01-08 15:13:45,FALSE,FALSE,"20thCentGlam","Worldwide","en-gb","4745498729",53,FALSE,"http://pbs.twimg.com/profile_images/819234756063887360/YvK6Fb4w_normal.jpg"
"Robert_A95","Tap down those boots while I beat around. Funk Me Downtown.",3212,112,477,93,"https://t.co/f9YTdUXChf","Robert",2012-09-26 17:31:32,FALSE,FALSE,"Robert_A95","UTD","en","847794780",1,FALSE,"http://pbs.twimg.com/profile_images/805571520198307840/M2ajWYlI_normal.jpg"
"olegblj1","",549,22,467,150,NA,"–ú–∞—Ä–∏–Ω–∞ –í–∞—Ä–∞–Ω–∫–∏–Ω–∞",2016-10-22 05:08:22,FALSE,FALSE,"olegblj1","","ru","789694862362832896",0,FALSE,"http://pbs.twimg.com/profile_images/822811517162758144/oe7QCixW_normal.jpg"
"e0zkXHWZKqf2iPx","",279,5,258,62,NA,"Amy Sutherland",2017-01-31 03:02:33,FALSE,FALSE,"e0zkXHWZKqf2iPx","","ru","826264375363305472",0,FALSE,"http://pbs.twimg.com/profile_images/829290056850489344/_pfrvuY7_normal.jpg"
"IE_RoseJ","International Event Director at Innovation Enterprise @IEGroup - Current projects:  #DigiPub SF & #DigiMarketing NYC - Opinions are my own.",7909,476,483,418,"http://t.co/4aiF5uuoGg","Rose Johnstone",2015-07-15 15:13:15,FALSE,FALSE,"IE_RoseJ","London, England","en-gb","3377424323",363,FALSE,"http://pbs.twimg.com/profile_images/634352709408292864/IMhenIsO_normal.png"
"artemden6vb","",520,27,422,122,NA,"–°–≤–µ—Ç–∞ –ë–µ–ª–æ–≤–∞",2016-11-06 14:40:37,FALSE,FALSE,"artemden6vb","","ru","795274692974129152",2,FALSE,"http://pbs.twimg.com/profile_images/823316268296114177/iOtx4fjw_normal.jpg"
"Myong_Wisley","All up in this interwebs in comfortable footwear. present: MTV/VH1 Digital Production & Development. past: Sports Journalism. always: sneaker enthusiast.",490487,1127,0,0,NA,"Myong _Wisley",2011-11-17 00:30:54,FALSE,FALSE,"Myong_Wisley","Burbank, California","en","414391600",648,FALSE,"http://pbs.twimg.com/profile_images/1839601946/179841668561_normal.jpg"
"BSdg1VRucx8jtJH","",536,30,464,145,NA,"–ê–ª–µ–Ω–∞ –ì–∞—Ä–∏–ø–æ–≤–∞",2016-12-08 03:43:35,FALSE,FALSE,"BSdg1VRucx8jtJH","","ru","806705759832702976",4,FALSE,"http://pbs.twimg.com/profile_images/823316412773056512/hq2VVErl_normal.jpg"
"XtHMlixANmOqS56","",272,2,257,62,NA,"Theresa Manning",2017-01-27 14:12:14,FALSE,FALSE,"XtHMlixANmOqS56","","ru","824983357884870656",0,FALSE,"http://pbs.twimg.com/profile_images/829290132779962370/NqkHT-cc_normal.jpg"
"tiovipenop1970","",2177,110,987,310,NA,"Donna Robertson",2016-11-21 06:15:45,FALSE,FALSE,"tiovipenop1970","","ru","800583458816815105",26,FALSE,"http://pbs.twimg.com/profile_images/806783143399165953/o7Yo9MmL_normal.jpg"
"pyotrfe3z","",576,23,492,150,NA,"–í–∏–∫—Ç–æ—Ä–∏—è –ü–µ—Ç—Ä–æ–≤–∞",2016-10-22 04:38:38,FALSE,FALSE,"pyotrfe3z","","ru","789687382467567616",0,FALSE,"http://pbs.twimg.com/profile_images/822811390587060226/XlbVjeDf_normal.jpg"
"ROSTAND_A","Insta : Rostand_",47730,598,934,240,"https://t.co/XXSaa64fq1","‚Ä†  BiTCh ‚Ä†",2011-12-28 12:11:11,FALSE,FALSE,"ROSTAND_A","PARIS","fr","448822448",3,FALSE,"http://pbs.twimg.com/profile_images/827496626373681152/I0p2yeqr_normal.jpg"
"Gaga_MyBaby","Mistaken for love Ì†ΩÌ≤î || Argentina Ì†ºÌ∑¶Ì†ºÌ∑∑ || Lady Gaga Enthusiast Ì†ΩÌ≤ï||",299,108,357,354,NA,"xoxo, Franco",2017-02-02 22:52:27,FALSE,FALSE,"Gaga_MyBaby","New York, USA","en","827288601549434882",3,FALSE,"http://pbs.twimg.com/profile_images/830240318477975552/hmK-Hq-B_normal.jpg"
"NerdisticoNews","N√£o h√° limites para n√≥s quando se trata de filmes, s√©ries, hqs, games, etc... Comentamos o que nos interessa mesmo que voc√™ seja contra nossa opini√£o!",3498,7398,8492,134,"https://t.co/RdUUfJ6Hny","Nerd√≠sticamente",2016-06-01 16:13:47,FALSE,FALSE,"NerdisticoNews","S√£o Paulo, Brasil","pt","738040858520485888",31,FALSE,"http://pbs.twimg.com/profile_images/816323380328747008/LAhEbma7_normal.jpg"
"Jeffrey74749980","Business Owner...Wannabe Stock trader",79296,830,35182,329,NA,"Jeffrey R",2015-06-19 14:53:15,FALSE,FALSE,"Jeffrey74749980","Arizona, USA","en","3249810930",478,FALSE,"http://pbs.twimg.com/profile_images/640719103418765313/hMIM0tNp_normal.jpg"
"0JsuWzvoc2f0CXo","",385,16,307,89,NA,"–ò–Ω–Ω–∞ –ö–æ–∑–ª–æ–≤–∞",2017-01-24 09:47:18,FALSE,FALSE,"0JsuWzvoc2f0CXo","","ru","823829520020971520",1,FALSE,"http://pbs.twimg.com/profile_images/824659607347945473/PFe1nZcL_normal.jpg"
"hhhhh454552","‚õîÔ∏è‚õîÔ∏è‚õîÔ∏èÿßŸÑÿ≠ÿ≥ÿßÿ®ÿßÿ™ ÿßŸÑÿßÿ®ÿßÿ≠Ÿäÿ© ŸàÿßŸÑÿ±Ÿàÿ≠ÿßŸÜŸäÿ© ŸàÿßŸÑÿ•ÿ±Ÿáÿßÿ®Ÿäÿ© ‚ùå ‚ùå‚ùå",190832,22770,3060,23293,NA,"Hisham ÿπÿßÿ¥ŸÇ ÿßŸÑŸÉŸäÿßŸÜ",2015-10-26 18:55:10,FALSE,FALSE,"hhhhh454552","ÿßŸÑÿ±Ÿäÿßÿ∂ ","en","4048041573",63,FALSE,"http://pbs.twimg.com/profile_images/817475828485423104/cudjRxyG_normal.jpg"
"MillionLuv4Gaga","",448,37,203,73,NA,"Million‚ù§Ô∏èGaga",2016-12-12 04:00:14,FALSE,FALSE,"MillionLuv4Gaga","","en","808159498804326401",0,FALSE,"http://pbs.twimg.com/profile_images/808169067915972608/Fa7o9s5T_normal.jpg"
"Clay09_","Ì†ºÌø≥Ô∏è‚ÄçÌ†ºÌºà",23732,768,2461,920,NA,"CHARLES",2011-07-13 20:36:21,FALSE,FALSE,"Clay09_","","en","334888100",32,FALSE,"http://pbs.twimg.com/profile_images/829461404688248832/16CHuPMA_normal.jpg"
"RLDarbyJR","@HRZone @USTravel @Seamless_Care @gaycivilrights @MakeupRVLTN @UrbanDaddy @WERRestaurants @SXM_Help @ZenCitySeries @AskNetSpend @AskUHC @PreventionMag",53383,1733,98697,4191,NA,"Robert L Darby, JR",2011-09-01 23:13:39,FALSE,FALSE,"RLDarbyJR","","en","366305826",818,FALSE,"http://pbs.twimg.com/profile_images/821492071718600709/t_kCMys6_normal.jpg"
"WayneGaga98","",445,54,200,77,NA,"Wayne",2016-12-12 04:45:44,FALSE,FALSE,"WayneGaga98","","en","808170948776103936",2,FALSE,"http://pbs.twimg.com/profile_images/808171377517854720/KWLN8dAS_normal.jpg"
"letsfunkuptown","",397,72,181,90,NA,"Stefbaby",2016-12-19 02:37:02,FALSE,FALSE,"letsfunkuptown","","en","810675276325777408",1,FALSE,"http://pbs.twimg.com/profile_images/810675839801102336/1Oif6gw9_normal.jpg"
