"","player_name","overall_rating","gk_rating","Number_of_appearances","Number_of_Leagues"
"1","Aaron Appindangoye",67,43,8,1
"2","Aaron Cresswell",74,51,75,1
"3","Aaron Doran",71,56,104,1
"4","Aaron Galindo",75,111,10,1
"5","Aaron Hughes",78,129,162,1
"6","Aaron Hunt",79,60,158,1
"7","Aaron Kuhl",61,64,5,1
"8","Aaron Lennon",84,146,181,1
"9","Aaron Lennox",48,237,1,1
"10","Aaron Meijers",69,54,167,1
"11","Aaron Mokoena",75,154,30,1
"12","Aaron Mooy",75,54,10,1
"13","Aaron Muirhead",63,38,21,1
"14","Aaron Niguez",71,61,27,2
"15","Aaron Ramsey",83,40,133,1
"16","Aaron Splaine",55,55,2,1
"17","Aaron Taylor-Sinclair",65,49,36,1
"18","Aaron Wilbraham",67,54,3,1
"19","Aatif Chahechouhe",77,50,1,1
"20","Abasse Ba",68,111,16,1
"21","Abdelaziz Barrada",76,42,75,2
"22","Abdelfettah Boukhriss",64,51,1,1
"23","Abdelhamid El Kaoutari",73,47,144,2
"24","Abdelkader Ghezzal",73,40,90,2
"25","Abdellah Zoubir",59,62,3,1
"26","Abdelmajid Oulmers",70,129,32,1
"27","Abdelmalek Cherrad",62,49,1,1
"28","Abdelmalek El Hasnaoui",63,52,5,1
"29","Abdelouahed Chakhsi",56,46,74,1
"30","Abderrazak Jadid",71,59,29,2
"31","Abdeslam Ouaddou",78,150,43,1
"32","Abdessalam Benjelloun",72,102,11,2
"33","Abdou Diallo",66,41,28,2
"34","Abdou Traore",71,57,59,1
"35","Abdoul Ba",64,60,4,1
"36","Abdoul Karim Yoda",72,58,54,2
"37","Abdoul Razzagui Camara",72,68,45,1
"38","Abdoulay Konko",79,62,137,2
"39","Abdoulaye Ba",73,65,58,2
"40","Abdoulaye Bamba",69,50,21,1
"41","Abdoulaye Diaby",73,50,37,1
"42","Abdoulaye Diallo",69,341,9,1
"43","Abdoulaye Diallo Sadio,22",74,52,41,1
"44","Abdoulaye Doucoure",73,68,71,2
"45","Abdoulaye Faye",76,152,81,1
"46","Abdoulaye Keita",60,54,3,1
"47","Abdoulaye Meite",79,135,53,2
"48","Abdoulaye Toure",64,48,2,1
"49","Abdoulwahid Sissoko",69,49,50,2
"50","Abdourahman Dampha",63,45,24,1
"51","Abdul Aziz Tetteh",67,60,19,1
"52","Abdul Majeed Waris",74,10,36,1
"53","Abdul Osman",66,51,66,1
"54","Abdul Rahman Baba",78,50,58,2
"55","Abdul-Yakinu Iddi",66,49,48,1
"56","Abdulkader Keita",82,43,13,1
"57","Abdulla Fatadi",57,60,8,1
"58","Abdullah Al Hafith",65,49,5,1
"59","Abdullah Omar",62,55,52,1
"60","Abdullahi Shehu",71,65,26,1
"61","Abel",73,143,35,1
"62","Abel Aguilar",77,50,134,3
"63","Abel Gomez",73,51,40,1
"64","Abel Hernandez",78,43,57,2
"65","Abel Issa Camara",69,45,33,1
"66","Abel Khaled",61,63,3,1
"67","Abel Tamata",69,40,47,1
"68","Abella Perez Damia",74,65,127,1
"69","Abiola Dauda",69,58,22,2
"70","Abou Diaby",79,49,67,2
"71","Aboubacar Tandia",62,39,4,1
"72","Aboubakar Kamara",61,50,3,1
"73","Aboubakar Oumarou",68,50,18,1
"74","Abraham Gonzalez",73,45,42,1
"75","Abraham Guie Gneki",70,44,14,2
"76","Abraham Kudemor",65,56,20,1
"77","Abraham Minero",73,51,66,1
"78","Abraham Paz Cruz",75,102,29,1
"79","Achille Coser",61,300,2,1
"80","Achille Emana",79,143,32,1
"81","Achille Vaarnold",62,47,1,1
"82","Achmed Ahahaoui",67,126,53,1
"83","Achraf Lazaar",73,53,53,1
"84","Aco Stojkov",60,120,23,1
"85","Adailton",73,141,37,1
"86","Adalberto Penaranda",72,47,21,1
"87","Adam Armstrong",67,55,1,1
"88","Adam Banas",66,45,99,1
"89","Adam Bodzek",72,54,29,1
"90","Adam Bogdan",73,363,25,1
"91","Adam Brown",52,57,1,1
"92","Adam Buksa",62,50,4,1
"93","Adam Campbell",62,58,7,1
"94","Adam Collin",66,323,3,1
"95","Adam Cummins",59,45,19,1
"96","Adam Danch",68,51,143,1
"97","Adam Deja",62,56,46,1
"98","Adam Drury",57,53,10,1
"99","Adam Duda",60,51,7,1
"100","Adam Dzwigala",60,56,29,1
"101","Adam Federici",73,371,27,1
"102","Adam Fraczczak",68,50,108,1
"103","Adam Gyurcso",69,46,8,1
"104","Adam Hammill",73,35,10,1
"105","Adam Henley",67,47,4,1
"106","Adam Hlousek",72,48,80,2
"107","Adam Johnson",82,48,146,1
"108","Adam King",57,55,2,1
"109","Adam Kokoszka",67,55,95,1
"110","Adam Lallana",80,54,109,1
"111","Adam Le Fondre",73,38,11,1
"112","Adam Maher",78,43,120,1
"113","Adam Marciniak",62,52,103,1
"114","Adam Marusic",69,44,49,1
